Source,SearchUrl,Additional,AlternativeLink,AlternativeSearchLink,Locations,PricesList,,,,,,,LowestPrice,MultiChoice,NothingFoundOrOutOfStock,NoAnswerOrError,ErrorMessage
,,,,,,Title,DeliveryDays,Availability,DoublePrice,Price,Url,DeliveryPrice,,,,,
Amazon.ca,https://www.amazon.ca/s?i=aps&k=WPW10503278&ref=nb_sb_noss&url=search-alias=aps,🅰,,,,,,,,,,,0.0,FALSE,FALSE,TRUE,Proxy list ended
Amresupply.com,https://www.amresupply.com/search?q=WPW10503278,📦$13.99,,,,"Universal Refrigerator Power Control Board, Equivalent to Whirlpool WPW10503278",,part In Stock,$161.59 / $0,0.0,https://www.amresupply.com/part/19908075,0.0,0.0,TRUE,FALSE,FALSE,
Apwagner.ca,https://www.apwagner.ca/search/WPW10503278,,,,,CNTRL-ELEC,,In Stock,,175.10,https://www.apwagner.ca/part/wpl/wpw10503278,0.0,175.10,FALSE,FALSE,FALSE,
Easyapplianceparts.ca,https://www.easyapplianceparts.ca/Search.ashx?SearchTerm=WPW10503278&SearchMethod=standard,📦$12.99,,,,Electronic Control Board,,In Stock,,221.73,https://www.easyapplianceparts.ca/PartInfo.aspx?inventory=11755733&SourceCode=3&SearchTerm=WPW10503278,0.0,221.73,FALSE,FALSE,FALSE,
eBay.ca,https://www.ebay.ca/sch/i.html?_from=R40&_nkw=WPW10503278&_sacat=0&_stpos=L4L0A1&_sadis=100&_fspt=1&LH_PrefLoc=1&rt=nc&LH_BIN=1,🅱,,,,,,,,155.99,https://www.ebay.ca/itm/354337763167,4.99,155.99,TRUE,FALSE,FALSE,
Encompass.com,https://encompass.com/search?searchTerm=WPW10503278,,,,,WPW10503278 Whirlpool Refrigerator Main Control Board,,In Stock,$136.27 usd,0.0,https://encompass.com/item/9648633/Whirlpool/WPW10503278/,0.0,136.27,FALSE,FALSE,FALSE,
Majorapplianceparts.ca,https://majorapplianceparts.ca/?s=WPW10503278&post_type=product&type_aws=true,,,,,Whirlpool Refrigerator Main Control Board. Part #WPW10503278 - Major Appliance Parts,,,,195.00,https://majorapplianceparts.ca/product/whirlpool-refrigerator-main-control-board-part-wpw10503278/,0.0,195.00,FALSE,FALSE,FALSE,
Marcone.com,https://beta.marcone.com/Home/SearchPartModelList?searchString=WPW10503278&Type=Part,,,,Vaughan (99),BOARD-JAZZ,,In Stock,$108.37 / $194.55,0.0,https://beta.marcone.com/Product/Detail?Part=WPW10503278&Make=WPL,0.0,108.37,FALSE,FALSE,FALSE,
Partselect.ca,https://www.partselect.ca/Search.ashx?SearchTerm=WPW10503278&SearchMethod=standard,📦$12.99,,,Brampton (11),Electronic Control Board,, In Stock,,248.50,https://www.partselect.ca/PS11755733-Whirlpool-WPW10503278-Electronic-Control-Board.htm?SourceCode=3&SearchTerm=WPW10503278,0.0,248.50,FALSE,FALSE,FALSE,
Partsexpert.ca,https://partsexpert.ca/?s=WPW10503278&post_type=product&type_aws=true,📦$14.99,,,Mississauga (30),Whirlpool Refrigerator Electronic Control Board,,,,179.52,https://partsexpert.ca/product/wpw10503278-whirlpool-refrigerator-electronic-control-board/,0.0,179.52,FALSE,FALSE,FALSE,
Reliableparts.net,https://reliableparts.net/ca/en/content/#/search/WPW10503278,📦$10.95,https://www.reliableparts.ca/product/inv_15153870,https://www.reliableparts.ca/search?q=WPW10503278,Ontario distribution centre (428),CNTRL-ELEC - JAZZ,,In Stock,$107.96 / $188.97,0.0,https://reliableparts.net/ca/en/content/#/part/RPL  WPW10503278,0.0,107.96,TRUE,FALSE,FALSE,
Amazon.ca,https://www.amazon.ca/s?i=aps&k=DE0019A&ref=nb_sb_noss&url=search-alias=aps,🅰,,,Waterloo 032 - pickup (0),,,,,,,,0.0,FALSE,FALSE,TRUE,Proxy list ended
Amresupply.com,https://www.amresupply.com/search?q=DE0019A,📦$13.99,,,Mississauga 033 - pickup (1),"Universal Dryer Heating Element Assembly, Equivalent To DC47-00019A",,part In Stock,$106.46 / $212.46,0.0,https://www.amresupply.com/part/11121838,0.0,106.46,FALSE,FALSE,FALSE,
Appliancepartshq.ca,https://www.appliancepartshq.ca/search?hq=DE0019A,📦$13.99,,,Toronto caledonia pickup (16),"Universal Dryer Heating Element Assembly, Equivalent To DC47-00019A",,In Stock,,106.46,https://www.appliancepartshq.ca/part/13687013,0.0,106.46,FALSE,FALSE,FALSE,
Apwagner.ca,https://www.apwagner.ca/search/DE0019A,,,,Scarborough br - pickup (20),,,,,,,,0.0,FALSE,TRUE,FALSE,
Easyapplianceparts.ca,https://www.easyapplianceparts.ca/Search.ashx?SearchTerm=DE0019A&SearchMethod=standard,📦$12.99,,,Ottawa bank st - pickup (16),,,,,,,,0.0,FALSE,TRUE,FALSE,
eBay.ca,https://www.ebay.ca/sch/i.html?_from=R40&_nkw=DE0019A&_sacat=0&_stpos=L4L0A1&_sadis=100&_fspt=1&LH_PrefLoc=1&rt=nc&LH_BIN=1,🅱,,,Montreal distribution centre (32),,,,,40.00,https://www.ebay.ca/itm/265433832088,20.00,40.00,TRUE,FALSE,FALSE,
Encompass.com,https://encompass.com/search?searchTerm=DE0019A,,,,Supplier quantity (100+),,,,,42.38,https://www.ebay.ca/itm/265164143384,15.00,0.0,FALSE,TRUE,FALSE,
